,Roll,Hold,EV
251,R000005,"[0, 0, 0, 0, 0, 5]",30.0
250,R000014,"[0, 0, 0, 0, 0, 4]",17.5
249,R000023,"[0, 0, 0, 0, 2, 3]",12.0
248,R000032,"[0, 0, 0, 0, 3, 2]",12.0
247,R000041,"[0, 0, 0, 0, 4, 0]",17.5
246,R000050,"[0, 0, 0, 0, 5, 0]",30.0
245,R000104,"[0, 0, 0, 0, 0, 4]",17.5
244,R000113,"[0, 0, 0, 0, 0, 3]",11.666666666666666
243,R000122,"[0, 0, 0, 0, 2, 2]",7.333333333333333
242,R000131,"[0, 0, 0, 0, 3, 0]",11.666666666666666
241,R000140,"[0, 0, 0, 0, 4, 0]",17.5
240,R000203,"[0, 0, 0, 2, 0, 3]",12.0
239,R000212,"[0, 0, 0, 2, 0, 2]",7.333333333333333
238,R000221,"[0, 0, 0, 2, 2, 0]",7.333333333333333
237,R000230,"[0, 0, 0, 2, 3, 0]",12.0
236,R000302,"[0, 0, 0, 3, 0, 2]",12.0
235,R000311,"[0, 0, 0, 3, 0, 0]",11.666666666666666
234,R000320,"[0, 0, 0, 3, 2, 0]",12.0
233,R000401,"[0, 0, 0, 4, 0, 0]",17.5
232,R000410,"[0, 0, 0, 4, 0, 0]",17.5
231,R000500,"[0, 0, 0, 5, 0, 0]",30.0
230,R001004,"[0, 0, 0, 0, 0, 4]",17.5
229,R001013,"[0, 0, 0, 0, 0, 3]",11.666666666666666
228,R001022,"[0, 0, 0, 0, 2, 2]",7.333333333333333
227,R001031,"[0, 0, 0, 0, 3, 0]",11.666666666666666
226,R001040,"[0, 0, 0, 0, 4, 0]",17.5
225,R001103,"[0, 0, 0, 0, 0, 3]",11.666666666666666
224,R001112,"[0, 0, 0, 0, 0, 2]",7.232142857142857
223,R001121,"[0, 0, 0, 0, 2, 0]",7.232142857142857
222,R001130,"[0, 0, 0, 0, 3, 0]",11.666666666666666
221,R001202,"[0, 0, 0, 2, 0, 2]",7.333333333333333
220,R001211,"[0, 0, 0, 2, 0, 0]",7.232142857142857
219,R001220,"[0, 0, 0, 2, 2, 0]",7.333333333333333
218,R001301,"[0, 0, 0, 3, 0, 0]",11.666666666666666
217,R001310,"[0, 0, 0, 3, 0, 0]",11.666666666666666
216,R001400,"[0, 0, 0, 4, 0, 0]",17.5
215,R002003,"[0, 0, 2, 0, 0, 3]",12.0
214,R002012,"[0, 0, 2, 0, 0, 2]",7.333333333333333
213,R002021,"[0, 0, 2, 0, 2, 0]",7.333333333333333
212,R002030,"[0, 0, 2, 0, 3, 0]",12.0
211,R002102,"[0, 0, 2, 0, 0, 2]",7.333333333333333
210,R002111,"[0, 0, 2, 0, 0, 0]",7.232142857142857
209,R002120,"[0, 0, 2, 0, 2, 0]",7.333333333333333
208,R002201,"[0, 0, 2, 2, 0, 0]",7.333333333333333
207,R002210,"[0, 0, 2, 2, 0, 0]",7.333333333333333
