,Roll,Hold,EV
251,R000005,"[0, 0, 0, 0, 0, 5]",30.0
250,R000014,"[0, 0, 0, 0, 0, 4]",21.319444444444443
249,R000023,"[0, 0, 0, 0, 0, 3]",16.0969387755102
248,R000032,"[0, 0, 0, 0, 3, 0]",16.0969387755102
247,R000041,"[0, 0, 0, 0, 4, 0]",21.319444444444443
246,R000050,"[0, 0, 0, 0, 5, 0]",30.0
245,R000104,"[0, 0, 0, 0, 0, 4]",21.319444444444443
244,R000113,"[0, 0, 0, 0, 0, 3]",16.0969387755102
243,R000122,"[0, 0, 0, 0, 0, 0]",13.506063360088284
242,R000131,"[0, 0, 0, 0, 3, 0]",16.0969387755102
241,R000140,"[0, 0, 0, 0, 4, 0]",21.319444444444443
240,R000203,"[0, 0, 0, 0, 0, 3]",16.0969387755102
239,R000212,"[0, 0, 0, 0, 0, 0]",13.506063360088284
238,R000221,"[0, 0, 0, 0, 0, 0]",13.506063360088284
237,R000230,"[0, 0, 0, 0, 3, 0]",16.0969387755102
236,R000302,"[0, 0, 0, 3, 0, 0]",16.0969387755102
235,R000311,"[0, 0, 0, 3, 0, 0]",16.0969387755102
234,R000320,"[0, 0, 0, 3, 0, 0]",16.0969387755102
233,R000401,"[0, 0, 0, 4, 0, 0]",21.319444444444443
232,R000410,"[0, 0, 0, 4, 0, 0]",21.319444444444443
231,R000500,"[0, 0, 0, 5, 0, 0]",30.0
230,R001004,"[0, 0, 0, 0, 0, 4]",21.319444444444443
229,R001013,"[0, 0, 0, 0, 0, 3]",16.0969387755102
228,R001022,"[0, 0, 0, 0, 0, 0]",13.506063360088284
227,R001031,"[0, 0, 0, 0, 3, 0]",16.0969387755102
226,R001040,"[0, 0, 0, 0, 4, 0]",21.319444444444443
225,R001103,"[0, 0, 0, 0, 0, 3]",16.0969387755102
224,R001112,"[0, 0, 0, 0, 0, 0]",13.506063360088284
223,R001121,"[0, 0, 0, 0, 0, 0]",13.506063360088284
222,R001130,"[0, 0, 0, 0, 3, 0]",16.0969387755102
221,R001202,"[0, 0, 0, 0, 0, 0]",13.506063360088284
220,R001211,"[0, 0, 0, 0, 0, 0]",13.506063360088284
219,R001220,"[0, 0, 0, 0, 0, 0]",13.506063360088284
218,R001301,"[0, 0, 0, 3, 0, 0]",16.0969387755102
217,R001310,"[0, 0, 0, 3, 0, 0]",16.0969387755102
216,R001400,"[0, 0, 0, 4, 0, 0]",21.319444444444443
215,R002003,"[0, 0, 0, 0, 0, 3]",16.0969387755102
214,R002012,"[0, 0, 0, 0, 0, 0]",13.506063360088284
213,R002021,"[0, 0, 0, 0, 0, 0]",13.506063360088284
212,R002030,"[0, 0, 0, 0, 3, 0]",16.0969387755102
211,R002102,"[0, 0, 0, 0, 0, 0]",13.506063360088284
210,R002111,"[0, 0, 0, 0, 0, 0]",13.506063360088284
209,R002120,"[0, 0, 0, 0, 0, 0]",13.506063360088284
208,R002201,"[0, 0, 0, 0, 0, 0]",13.506063360088284
207,R002210,"[0, 0, 0, 0, 0, 0]",13.506063360088284
206,R002300,"[0, 0, 0, 3, 0, 0]",16.0969387755102
205,R003002,"[0, 0, 3, 0, 0, 0]",16.096938775510207
204,R003011,"[0, 0, 3, 0, 0, 0]",16.096938775510207
203,R003020,"[0, 0, 3, 0, 0, 0]",16.096938775510207
202,R003101,"[0, 0, 3, 0, 0, 0]",16.096938775510207
201,R003110,"[0, 0, 3, 0, 0, 0]",16.096938775510207
200,R003200,"[0, 0, 3, 0, 0, 0]",16.096938775510207
199,R004001,"[0, 0, 4, 0, 0, 0]",21.31944444444444
198,R004010,"[0, 0, 4, 0, 0, 0]",21.31944444444444
197,R004100,"[0, 0, 4, 0, 0, 0]",21.31944444444444
196,R005000,"[0, 0, 5, 0, 0, 0]",30.0
195,R010004,"[0, 0, 0, 0, 0, 4]",21.319444444444443
194,R010013,"[0, 0, 0, 0, 0, 3]",16.0969387755102
193,R010022,"[0, 0, 0, 0, 0, 0]",13.506063360088284
192,R010031,"[0, 0, 0, 0, 3, 0]",16.0969387755102
191,R010040,"[0, 0, 0, 0, 4, 0]",21.319444444444443
190,R010103,"[0, 0, 0, 0, 0, 3]",16.0969387755102
189,R010112,"[0, 0, 0, 0, 0, 0]",13.506063360088284
188,R010121,"[0, 0, 0, 0, 0, 0]",13.506063360088284
187,R010130,"[0, 0, 0, 0, 3, 0]",16.0969387755102
186,R010202,"[0, 0, 0, 0, 0, 0]",13.506063360088284
185,R010211,"[0, 0, 0, 0, 0, 0]",13.506063360088284
184,R010220,"[0, 0, 0, 0, 0, 0]",13.506063360088284
183,R010301,"[0, 0, 0, 3, 0, 0]",16.0969387755102
182,R010310,"[0, 0, 0, 3, 0, 0]",16.0969387755102
181,R010400,"[0, 0, 0, 4, 0, 0]",21.319444444444443
180,R011003,"[0, 0, 0, 0, 0, 3]",16.0969387755102
