,Roll,Hold,EV
251,R000005,"[0, 0, 0, 0, 0, 5]",30.0
250,R000014,"[0, 0, 0, 0, 0, 4]",19.583333333333332
249,R000023,"[0, 0, 0, 0, 0, 3]",14.007936507936506
248,R000032,"[0, 0, 0, 0, 3, 0]",14.007936507936506
247,R000041,"[0, 0, 0, 0, 4, 0]",19.583333333333332
246,R000050,"[0, 0, 0, 0, 5, 0]",30.0
245,R000104,"[0, 0, 0, 0, 0, 4]",19.583333333333332
244,R000113,"[0, 0, 0, 0, 0, 3]",14.007936507936506
243,R000122,"[0, 0, 0, 0, 0, 0]",10.744677500629884
242,R000131,"[0, 0, 0, 0, 3, 0]",14.007936507936506
241,R000140,"[0, 0, 0, 0, 4, 0]",19.583333333333332
240,R000203,"[0, 0, 0, 0, 0, 3]",14.007936507936506
239,R000212,"[0, 0, 0, 0, 0, 0]",10.744677500629884
238,R000221,"[0, 0, 0, 0, 0, 0]",10.744677500629884
237,R000230,"[0, 0, 0, 0, 3, 0]",14.007936507936506
236,R000302,"[0, 0, 0, 3, 0, 0]",14.00793650793651
235,R000311,"[0, 0, 0, 3, 0, 0]",14.00793650793651
234,R000320,"[0, 0, 0, 3, 0, 0]",14.00793650793651
233,R000401,"[0, 0, 0, 4, 0, 0]",19.583333333333332
232,R000410,"[0, 0, 0, 4, 0, 0]",19.583333333333332
231,R000500,"[0, 0, 0, 5, 0, 0]",30.0
230,R001004,"[0, 0, 0, 0, 0, 4]",19.583333333333332
229,R001013,"[0, 0, 0, 0, 0, 3]",14.007936507936506
228,R001022,"[0, 0, 0, 0, 0, 0]",10.744677500629884
227,R001031,"[0, 0, 0, 0, 3, 0]",14.007936507936506
226,R001040,"[0, 0, 0, 0, 4, 0]",19.583333333333332
225,R001103,"[0, 0, 0, 0, 0, 3]",14.007936507936506
224,R001112,"[0, 0, 0, 0, 0, 0]",10.744677500629884
223,R001121,"[0, 0, 0, 0, 0, 0]",10.744677500629884
222,R001130,"[0, 0, 0, 0, 3, 0]",14.007936507936506
221,R001202,"[0, 0, 0, 0, 0, 0]",10.744677500629884
220,R001211,"[0, 0, 0, 0, 0, 0]",10.744677500629884
219,R001220,"[0, 0, 0, 0, 0, 0]",10.744677500629884
218,R001301,"[0, 0, 0, 3, 0, 0]",14.00793650793651
217,R001310,"[0, 0, 0, 3, 0, 0]",14.00793650793651
216,R001400,"[0, 0, 0, 4, 0, 0]",19.583333333333332
215,R002003,"[0, 0, 0, 0, 0, 3]",14.007936507936506
214,R002012,"[0, 0, 0, 0, 0, 0]",10.744677500629884
213,R002021,"[0, 0, 0, 0, 0, 0]",10.744677500629884
212,R002030,"[0, 0, 0, 0, 3, 0]",14.007936507936506
211,R002102,"[0, 0, 0, 0, 0, 0]",10.744677500629884
210,R002111,"[0, 0, 0, 0, 0, 0]",10.744677500629884
209,R002120,"[0, 0, 0, 0, 0, 0]",10.744677500629884
208,R002201,"[0, 0, 0, 0, 0, 0]",10.744677500629884
207,R002210,"[0, 0, 0, 0, 0, 0]",10.744677500629884
206,R002300,"[0, 0, 0, 3, 0, 0]",14.00793650793651
205,R003002,"[0, 0, 3, 0, 0, 0]",14.00793650793651
204,R003011,"[0, 0, 3, 0, 0, 0]",14.00793650793651
203,R003020,"[0, 0, 3, 0, 0, 0]",14.00793650793651
202,R003101,"[0, 0, 3, 0, 0, 0]",14.00793650793651
201,R003110,"[0, 0, 3, 0, 0, 0]",14.00793650793651
200,R003200,"[0, 0, 3, 0, 0, 0]",14.00793650793651
199,R004001,"[0, 0, 4, 0, 0, 0]",19.583333333333332
198,R004010,"[0, 0, 4, 0, 0, 0]",19.583333333333332
197,R004100,"[0, 0, 4, 0, 0, 0]",19.583333333333332
196,R005000,"[0, 0, 5, 0, 0, 0]",30.0
195,R010004,"[0, 0, 0, 0, 0, 4]",19.583333333333332
194,R010013,"[0, 0, 0, 0, 0, 3]",14.007936507936506
193,R010022,"[0, 0, 0, 0, 0, 0]",10.744677500629884
192,R010031,"[0, 0, 0, 0, 3, 0]",14.007936507936506
191,R010040,"[0, 0, 0, 0, 4, 0]",19.583333333333332
190,R010103,"[0, 0, 0, 0, 0, 3]",14.007936507936506
189,R010112,"[0, 0, 0, 0, 0, 0]",10.744677500629884
188,R010121,"[0, 0, 0, 0, 0, 0]",10.744677500629884
187,R010130,"[0, 0, 0, 0, 3, 0]",14.007936507936506
186,R010202,"[0, 0, 0, 0, 0, 0]",10.744677500629884
185,R010211,"[0, 0, 0, 0, 0, 0]",10.744677500629884
184,R010220,"[0, 0, 0, 0, 0, 0]",10.744677500629884
183,R010301,"[0, 0, 0, 3, 0, 0]",14.00793650793651
182,R010310,"[0, 0, 0, 3, 0, 0]",14.00793650793651
181,R010400,"[0, 0, 0, 4, 0, 0]",19.583333333333332
180,R011003,"[0, 0, 0, 0, 0, 3]",14.007936507936506
179,R011012,"[0, 0, 0, 0, 0, 0]",10.744677500629884
178,R011021,"[0, 0, 0, 0, 0, 0]",10.744677500629884
177,R011030,"[0, 0, 0, 0, 3, 0]",14.007936507936506
176,R011102,"[0, 0, 0, 0, 0, 0]",10.744677500629884
175,R011111,"[0, 1, 1, 1, 1, 1]",20.0
174,R011120,"[0, 1, 1, 1, 1, 0]",11.488095238095235
173,R011201,"[0, 0, 0, 0, 0, 0]",10.744677500629884
172,R011210,"[0, 1, 1, 1, 1, 0]",11.488095238095235
171,R011300,"[0, 0, 0, 3, 0, 0]",14.00793650793651
170,R012002,"[0, 0, 0, 0, 0, 0]",10.744677500629884
169,R012011,"[0, 0, 0, 0, 0, 0]",10.744677500629884
168,R012020,"[0, 0, 0, 0, 0, 0]",10.744677500629884
167,R012101,"[0, 0, 0, 0, 0, 0]",10.744677500629884
166,R012110,"[0, 1, 1, 1, 1, 0]",11.488095238095235
165,R012200,"[0, 0, 0, 0, 0, 0]",10.744677500629884
164,R013001,"[0, 0, 3, 0, 0, 0]",14.00793650793651
163,R013010,"[0, 0, 3, 0, 0, 0]",14.00793650793651
162,R013100,"[0, 0, 3, 0, 0, 0]",14.00793650793651
161,R014000,"[0, 0, 4, 0, 0, 0]",19.583333333333332
160,R020003,"[0, 0, 0, 0, 0, 3]",14.007936507936506
159,R020012,"[0, 0, 0, 0, 0, 0]",10.744677500629884
158,R020021,"[0, 0, 0, 0, 0, 0]",10.744677500629884
157,R020030,"[0, 0, 0, 0, 3, 0]",14.007936507936506
156,R020102,"[0, 0, 0, 0, 0, 0]",10.744677500629884
155,R020111,"[0, 0, 0, 0, 0, 0]",10.744677500629884
154,R020120,"[0, 0, 0, 0, 0, 0]",10.744677500629884
153,R020201,"[0, 0, 0, 0, 0, 0]",10.744677500629884
152,R020210,"[0, 0, 0, 0, 0, 0]",10.744677500629884
151,R020300,"[0, 0, 0, 3, 0, 0]",14.00793650793651
150,R021002,"[0, 0, 0, 0, 0, 0]",10.744677500629884
149,R021011,"[0, 0, 0, 0, 0, 0]",10.744677500629884
148,R021020,"[0, 0, 0, 0, 0, 0]",10.744677500629884
147,R021101,"[0, 0, 0, 0, 0, 0]",10.744677500629884
146,R021110,"[0, 1, 1, 1, 1, 0]",11.488095238095235
145,R021200,"[0, 0, 0, 0, 0, 0]",10.744677500629884
144,R022001,"[0, 0, 0, 0, 0, 0]",10.744677500629884
143,R022010,"[0, 0, 0, 0, 0, 0]",10.744677500629884
142,R022100,"[0, 0, 0, 0, 0, 0]",10.744677500629884
141,R023000,"[0, 0, 3, 0, 0, 0]",14.00793650793651
140,R030002,"[0, 3, 0, 0, 0, 0]",14.00793650793651
139,R030011,"[0, 3, 0, 0, 0, 0]",14.00793650793651
138,R030020,"[0, 3, 0, 0, 0, 0]",14.00793650793651
137,R030101,"[0, 3, 0, 0, 0, 0]",14.00793650793651
136,R030110,"[0, 3, 0, 0, 0, 0]",14.00793650793651
135,R030200,"[0, 3, 0, 0, 0, 0]",14.00793650793651
134,R031001,"[0, 3, 0, 0, 0, 0]",14.00793650793651
133,R031010,"[0, 3, 0, 0, 0, 0]",14.00793650793651
132,R031100,"[0, 3, 0, 0, 0, 0]",14.00793650793651
131,R032000,"[0, 3, 0, 0, 0, 0]",14.00793650793651
130,R040001,"[0, 4, 0, 0, 0, 0]",19.583333333333332
129,R040010,"[0, 4, 0, 0, 0, 0]",19.583333333333332
128,R040100,"[0, 4, 0, 0, 0, 0]",19.583333333333332
127,R041000,"[0, 4, 0, 0, 0, 0]",19.583333333333332
126,R050000,"[0, 5, 0, 0, 0, 0]",30.0
125,R100004,"[0, 0, 0, 0, 0, 4]",19.583333333333332
124,R100013,"[0, 0, 0, 0, 0, 3]",14.007936507936506
123,R100022,"[0, 0, 0, 0, 0, 0]",10.744677500629884
122,R100031,"[0, 0, 0, 0, 3, 0]",14.007936507936506
121,R100040,"[0, 0, 0, 0, 4, 0]",19.583333333333332
120,R100103,"[0, 0, 0, 0, 0, 3]",14.007936507936506
119,R100112,"[0, 0, 0, 0, 0, 0]",10.744677500629884
118,R100121,"[0, 0, 0, 0, 0, 0]",10.744677500629884
117,R100130,"[0, 0, 0, 0, 3, 0]",14.007936507936506
116,R100202,"[0, 0, 0, 0, 0, 0]",10.744677500629884
115,R100211,"[0, 0, 0, 0, 0, 0]",10.744677500629884
114,R100220,"[0, 0, 0, 0, 0, 0]",10.744677500629884
113,R100301,"[0, 0, 0, 3, 0, 0]",14.00793650793651
112,R100310,"[0, 0, 0, 3, 0, 0]",14.00793650793651
111,R100400,"[0, 0, 0, 4, 0, 0]",19.583333333333332
110,R101003,"[0, 0, 0, 0, 0, 3]",14.007936507936506
109,R101012,"[0, 0, 0, 0, 0, 0]",10.744677500629884
108,R101021,"[0, 0, 0, 0, 0, 0]",10.744677500629884
107,R101030,"[0, 0, 0, 0, 3, 0]",14.007936507936506
106,R101102,"[0, 0, 0, 0, 0, 0]",10.744677500629884
105,R101111,"[0, 0, 0, 0, 0, 0]",10.744677500629884
104,R101120,"[0, 0, 0, 0, 0, 0]",10.744677500629884
103,R101201,"[0, 0, 0, 0, 0, 0]",10.744677500629884
102,R101210,"[0, 0, 0, 0, 0, 0]",10.744677500629884
101,R101300,"[0, 0, 0, 3, 0, 0]",14.00793650793651
100,R102002,"[0, 0, 0, 0, 0, 0]",10.744677500629884
99,R102011,"[0, 0, 0, 0, 0, 0]",10.744677500629884
98,R102020,"[0, 0, 0, 0, 0, 0]",10.744677500629884
97,R102101,"[0, 0, 0, 0, 0, 0]",10.744677500629884
96,R102110,"[0, 0, 0, 0, 0, 0]",10.744677500629884
95,R102200,"[0, 0, 0, 0, 0, 0]",10.744677500629884
94,R103001,"[0, 0, 3, 0, 0, 0]",14.00793650793651
93,R103010,"[0, 0, 3, 0, 0, 0]",14.00793650793651
92,R103100,"[0, 0, 3, 0, 0, 0]",14.00793650793651
91,R104000,"[0, 0, 4, 0, 0, 0]",19.583333333333332
90,R110003,"[0, 0, 0, 0, 0, 3]",14.007936507936506
89,R110012,"[0, 0, 0, 0, 0, 0]",10.744677500629884
88,R110021,"[0, 0, 0, 0, 0, 0]",10.744677500629884
87,R110030,"[0, 0, 0, 0, 3, 0]",14.007936507936506
86,R110102,"[0, 0, 0, 0, 0, 0]",10.744677500629884
85,R110111,"[0, 0, 0, 0, 0, 0]",10.744677500629884
84,R110120,"[0, 0, 0, 0, 0, 0]",10.744677500629884
83,R110201,"[0, 0, 0, 0, 0, 0]",10.744677500629884
82,R110210,"[0, 0, 0, 0, 0, 0]",10.744677500629884
81,R110300,"[0, 0, 0, 3, 0, 0]",14.00793650793651
80,R111002,"[0, 0, 0, 0, 0, 0]",10.744677500629884
79,R111011,"[0, 0, 0, 0, 0, 0]",10.744677500629884
78,R111020,"[0, 0, 0, 0, 0, 0]",10.744677500629884
77,R111101,"[0, 0, 0, 0, 0, 0]",10.744677500629884
76,R111110,"[1, 1, 1, 1, 1, 0]",20.0
75,R111200,"[0, 0, 0, 0, 0, 0]",10.744677500629884
74,R112001,"[0, 0, 0, 0, 0, 0]",10.744677500629884
73,R112010,"[0, 0, 0, 0, 0, 0]",10.744677500629884
72,R112100,"[0, 0, 0, 0, 0, 0]",10.744677500629884
71,R113000,"[0, 0, 3, 0, 0, 0]",14.00793650793651
70,R120002,"[0, 0, 0, 0, 0, 0]",10.744677500629884
69,R120011,"[0, 0, 0, 0, 0, 0]",10.744677500629884
68,R120020,"[0, 0, 0, 0, 0, 0]",10.744677500629884
67,R120101,"[0, 0, 0, 0, 0, 0]",10.744677500629884
66,R120110,"[0, 0, 0, 0, 0, 0]",10.744677500629884
65,R120200,"[0, 0, 0, 0, 0, 0]",10.744677500629884
64,R121001,"[0, 0, 0, 0, 0, 0]",10.744677500629884
63,R121010,"[0, 0, 0, 0, 0, 0]",10.744677500629884
62,R121100,"[0, 0, 0, 0, 0, 0]",10.744677500629884
61,R122000,"[0, 0, 0, 0, 0, 0]",10.744677500629884
60,R130001,"[0, 3, 0, 0, 0, 0]",14.00793650793651
59,R130010,"[0, 3, 0, 0, 0, 0]",14.00793650793651
58,R130100,"[0, 3, 0, 0, 0, 0]",14.00793650793651
57,R131000,"[0, 3, 0, 0, 0, 0]",14.00793650793651
56,R140000,"[0, 4, 0, 0, 0, 0]",19.583333333333332
55,R200003,"[0, 0, 0, 0, 0, 3]",14.007936507936506
